code,name,price,pct_change,amount,main_net,main_pct,super_net,large_net,medium_net,small_net,period,updated_at
300227,光韵达,9.18,0.77,79452015.02,9042725.0,11.38,-38586.0,9081311.0,23899.0,-9066624.0,即时,2026-07-16 11:05:37
000050,深天马Ａ,6.65,-1.04,150122312.0,8805147.0,5.87,-4747682.0,13552829.0,-580904.0,-8224242.0,即时,2026-07-16 11:05:36
603220,中贝通信,18.77,3.36,245546481.0,8652269.0,3.52,6168889.0,2483380.0,-14240888.0,5588619.0,即时,2026-07-16 11:05:39
002387,维信诺,6.73,0.45,69083906.24,8596281.0,12.44,2241084.0,6355197.0,-5663596.0,-2932685.0,即时,2026-07-16 11:05:37
301448,开创电气,44.71,11.8,128228680.73,8554875.0,6.67,59126.0,8495749.0,8163858.0,-16718734.0,即时,2026-07-16 11:05:38
002925,盈趣科技,22.9,0.97,207068401.32,8037898.0,3.88,-3441415.0,11479313.0,6523337.0,-14561234.0,即时,2026-07-16 11:05:37
300663,科蓝软件,6.87,6.84,106546934.8,8015792.0,7.52,1042057.0,6973735.0,2456328.0,-10472121.0,即时,2026-07-16 11:05:38
000555,神州信息,9.96,3.53,129710856.96,7999878.0,6.17,520740.0,7479138.0,-8908293.0,908415.0,即时,2026-07-16 11:05:36
002474,榕基软件,5.85,3.54,67283046.8,7819259.0,11.62,902796.0,6916463.0,-2907678.0,-4911581.0,即时,2026-07-16 11:05:37
300674,宇信科技,15.09,2.72,96205150.87,7815519.0,8.12,2735394.0,5080125.0,-4439809.0,-3375710.0,即时,2026-07-16 11:05:38
300451,创业慧康,3.57,2.59,84699162.75,7587948.0,8.96,2377348.0,5210600.0,-5200441.0,-2387507.0,即时,2026-07-16 11:05:38
300440,运达科技,20.06,-1.33,78759690.0,7358672.0,9.34,10415297.0,-3056625.0,-1266274.0,-6092398.0,即时,2026-07-16 11:05:38
300327,中颖电子,25.22,0.36,249733540.76,7358544.0,2.95,5693477.0,1665067.0,-11920121.0,4561576.0,即时,2026-07-16 11:05:37
300430,*ST益通,5.19,9.03,62052745.0,7358317.0,11.86,1075080.0,6283237.0,-856817.0,-6501500.0,即时,2026-07-16 11:05:38
002130,沃尔核材,16.21,1.12,201881906.25,7146091.0,3.54,2435613.0,4710478.0,-11757541.0,4611451.0,即时,2026-07-16 11:05:37
300213,佳讯飞鸿,6.01,1.86,53554780.0,7000633.0,13.07,0.0,7000633.0,-8273011.0,1272378.0,即时,2026-07-16 11:05:37
300378,鼎捷数智,30.26,1.54,143879796.92,6929622.0,4.82,5936884.0,992738.0,-10114330.0,3184708.0,即时,2026-07-16 11:05:37
300229,拓尔思,13.46,3.14,169166779.05,6868380.0,4.06,2304667.0,4563713.0,-11437333.0,4568953.0,即时,2026-07-16 11:05:37
300782,卓胜微,86.66,0.3,866084524.71,6810988.0,0.79,-15600960.0,22411948.0,-24367712.0,17556716.0,即时,2026-07-16 11:05:38
300159,新研股份,2.99,1.01,50926179.0,6788317.0,13.33,0.0,6788317.0,-6584316.0,-204001.0,即时,2026-07-16 11:05:37
002196,方正电机,11.01,0.36,97006552.0,6380920.0,6.58,1464311.0,4916609.0,-1100040.0,-5280880.0,即时,2026-07-16 11:05:37
003021,兆威机电,83.67,2.05,186426082.7,6327128.0,3.39,-9595668.0,15922796.0,-3882771.0,-2444357.0,即时,2026-07-16 11:05:37
000837,秦川机床,9.56,0.21,96460217.11,6175821.0,6.4,0.0,6175821.0,-4405810.0,-1770012.0,即时,2026-07-16 11:05:36
300793,佳禾智能,11.09,4.13,97763291.0,6153905.0,6.29,2521199.0,3632706.0,753766.0,-6907671.0,即时,2026-07-16 11:05:38
605588,冠石科技,49.58,-1.04,68681995.0,6055451.0,8.82,5363092.0,692359.0,-229371.0,-5826080.0,即时,2026-07-16 11:05:39
600316,洪都航空,27.18,2.64,126782985.0,6025379.0,4.75,2559669.0,3465710.0,-2636331.0,-3389047.0,即时,2026-07-16 11:05:39
300007,汉威科技,35.72,0.65,224864686.64,5982990.0,2.66,1252894.0,4730096.0,3248929.0,-9231919.0,即时,2026-07-16 11:05:37
002979,雷赛智能,60.21,-2.64,565077673.4,5795037.0,1.03,-29304581.0,35099618.0,18018620.0,-23813657.0,即时,2026-07-16 11:05:37
301413,安培龙,63.82,-0.31,120449089.83,5716146.0,4.75,3293679.0,2422467.0,2039124.0,-7755270.0,即时,2026-07-16 11:05:38
300403,汉宇集团,9.58,1.27,60950851.88,5672408.0,9.31,-1726881.0,7399289.0,-12111.0,-5660297.0,即时,2026-07-16 11:05:38
300465,高伟达,10.52,3.75,73342925.0,5610684.0,7.65,1035159.0,4575525.0,-1360597.0,-4250087.0,即时,2026-07-16 11:05:38
300872,天阳科技,15.2,1.4,88231685.72,5488921.0,6.22,-1450413.0,6939334.0,-10454421.0,4965500.0,即时,2026-07-16 11:05:38
301380,挖金客,29.38,5.49,61626276.03,5465030.0,8.87,4201479.0,1263551.0,40158.0,-5505189.0,即时,2026-07-16 11:05:38
002111,威海广泰,9.57,1.27,54620048.49,5460461.0,10.0,1013294.0,4447167.0,1005055.0,-6465517.0,即时,2026-07-16 11:05:36
300324,旋极信息,3.74,1.91,74994539.6,5459290.0,7.28,3316500.0,2142790.0,-6390126.0,930836.0,即时,2026-07-16 11:05:37
